scenario,batch_size,workload,database,run_throughput_ops_sec
baseline,1,workload_kv_session,rocksdb,90445.7
baseline,1,workload_kv_cache,rocksdb,332166
baseline,1,workload_kv_analytics_read,rocksdb,362670
baseline,1,workload_kv_ingest,rocksdb,195189
baseline,1,workload_kv_latest,rocksdb,475148
baseline,1,workload_kv_range10,rocksdb,198695
baseline,1,workload_kv_range100,rocksdb,37441.4
baseline,1,workload_kv_rmw,rocksdb,194754
batch_insert_1,1,workload_kv_batch_insert,rocksdb,204408
batch_insert_8,8,workload_kv_batch_insert,rocksdb,259998
batch_insert_32,32,workload_kv_batch_insert,rocksdb,258836
batch_insert_64,64,workload_kv_batch_insert,rocksdb,265556
batch_update_1,1,workload_kv_batch_update,rocksdb,149570
batch_update_8,8,workload_kv_batch_update,rocksdb,172850
batch_update_32,32,workload_kv_batch_update,rocksdb,179215
batch_update_64,64,workload_kv_batch_update,rocksdb,176215
concurrent_write,1,workload_kv_concurrent_write,rocksdb,64564.1
concurrent_session,1,workload_kv_concurrent_session,rocksdb,251112
value_size_100,1,workload_kv_session,rocksdb,65344.9
value_size_1024,1,workload_kv_session,rocksdb,71665.2
value_size_4096,1,workload_kv_session,rocksdb,66844.9
baseline,1,workload_kv_session,leveldb,214430
baseline,1,workload_kv_cache,leveldb,444328
baseline,1,workload_kv_analytics_read,leveldb,571788
baseline,1,workload_kv_ingest,leveldb,318906
baseline,1,workload_kv_latest,leveldb,632776
baseline,1,workload_kv_range10,leveldb,360244
baseline,1,workload_kv_range100,leveldb,94181.5
baseline,1,workload_kv_rmw,leveldb,282501
batch_insert_1,1,workload_kv_batch_insert,leveldb,344169
batch_insert_8,8,workload_kv_batch_insert,leveldb,410734
batch_insert_32,32,workload_kv_batch_insert,leveldb,422211
batch_insert_64,64,workload_kv_batch_insert,leveldb,413444
batch_update_1,1,workload_kv_batch_update,leveldb,240948
batch_update_8,8,workload_kv_batch_update,leveldb,262315
batch_update_32,32,workload_kv_batch_update,leveldb,257429
batch_update_64,64,workload_kv_batch_update,leveldb,268426
value_size_100,1,workload_kv_session,leveldb,85448.5
value_size_1024,1,workload_kv_session,leveldb,79921
value_size_4096,1,workload_kv_session,leveldb,77520.2
baseline,1,workload_kv_session,lmdb,548180
baseline,1,workload_kv_cache,lmdb,942268
baseline,1,workload_kv_analytics_read,lmdb,929380
baseline,1,workload_kv_ingest,lmdb,402994
baseline,1,workload_kv_latest,lmdb,940120
baseline,1,workload_kv_range10,lmdb,639335
baseline,1,workload_kv_range100,lmdb,120646
baseline,1,workload_kv_rmw,lmdb,645856
batch_insert_1,1,workload_kv_batch_insert,lmdb,395483
batch_insert_8,8,workload_kv_batch_insert,lmdb,423584
batch_insert_32,32,workload_kv_batch_insert,lmdb,416289
batch_insert_64,64,workload_kv_batch_insert,lmdb,413224
batch_update_1,1,workload_kv_batch_update,lmdb,601852
batch_update_8,8,workload_kv_batch_update,lmdb,635657
batch_update_32,32,workload_kv_batch_update,lmdb,641154
batch_update_64,64,workload_kv_batch_update,lmdb,639766
acid_aci,1,workload_kv_acid_aci,lmdb,2167.62
acid_txn,1,workload_kv_acid_txn,lmdb,3152.23
acid_batch_rmw,8,workload_kv_acid_batch_rmw,lmdb,6615.47
value_size_100,1,workload_kv_session,lmdb,552534
value_size_1024,1,workload_kv_session,lmdb,547904
value_size_4096,1,workload_kv_session,lmdb,558132
baseline,1,workload_kv_session,wiredtiger,24886.7
baseline,1,workload_kv_cache,wiredtiger,194076
baseline,1,workload_kv_analytics_read,wiredtiger,204652
baseline,1,workload_kv_ingest,wiredtiger,63008.6
baseline,1,workload_kv_latest,wiredtiger,234241
baseline,1,workload_kv_range10,wiredtiger,67675.1
baseline,1,workload_kv_range100,wiredtiger,45866.7
baseline,1,workload_kv_rmw,wiredtiger,117794
batch_insert_1,1,workload_kv_batch_insert,wiredtiger,61494.2
batch_insert_8,8,workload_kv_batch_insert,wiredtiger,60181.2
batch_insert_32,32,workload_kv_batch_insert,wiredtiger,59217.1
batch_insert_64,64,workload_kv_batch_insert,wiredtiger,61670.9
batch_update_1,1,workload_kv_batch_update,wiredtiger,86050.3
batch_update_8,8,workload_kv_batch_update,wiredtiger,85305.5
batch_update_32,32,workload_kv_batch_update,wiredtiger,86734.4
batch_update_64,64,workload_kv_batch_update,wiredtiger,102588
acid_aci,1,workload_kv_acid_aci,wiredtiger,2945.4
acid_txn,1,workload_kv_acid_txn,wiredtiger,4311.26
acid_batch_rmw,8,workload_kv_acid_batch_rmw,wiredtiger,6841.49
concurrent_write,1,workload_kv_concurrent_write,wiredtiger,9669.47
concurrent_session,1,workload_kv_concurrent_session,wiredtiger,30614.8
value_size_100,1,workload_kv_session,wiredtiger,22494
value_size_1024,1,workload_kv_session,wiredtiger,20524.8
value_size_4096,1,workload_kv_session,wiredtiger,20996.4
baseline,1,workload_kv_session,leaves,587502
baseline,1,workload_kv_cache,leaves,1.90222e+06
baseline,1,workload_kv_analytics_read,leaves,1.98814e+06
baseline,1,workload_kv_ingest,leaves,698660
baseline,1,workload_kv_latest,leaves,1.72714e+06
baseline,1,workload_kv_range10,leaves,753185
baseline,1,workload_kv_range100,leaves,110990
baseline,1,workload_kv_rmw,leaves,892198
batch_insert_1,1,workload_kv_batch_insert,leaves,652103
batch_insert_8,8,workload_kv_batch_insert,leaves,791149
batch_insert_32,32,workload_kv_batch_insert,leaves,809464
batch_insert_64,64,workload_kv_batch_insert,leaves,807846
batch_update_1,1,workload_kv_batch_update,leaves,856156
batch_update_8,8,workload_kv_batch_update,leaves,1.04932e+06
batch_update_32,32,workload_kv_batch_update,leaves,1.08836e+06
batch_update_64,64,workload_kv_batch_update,leaves,1.09144e+06
acid_aci,1,workload_kv_acid_aci,leaves,3876.7
acid_txn,1,workload_kv_acid_txn,leaves,6055.87
acid_batch_rmw,8,workload_kv_acid_batch_rmw,leaves,15850
concurrent_write,1,workload_kv_concurrent_write,leaves,27319
concurrent_session,1,workload_kv_concurrent_session,leaves,2.7657e+06
value_size_100,1,workload_kv_session,leaves,685382
value_size_1024,1,workload_kv_session,leaves,783359
value_size_4096,1,workload_kv_session,leaves,688432
baseline,1,workload_kv_session,sqlite,56552
baseline,1,workload_kv_cache,sqlite,160787
baseline,1,workload_kv_analytics_read,sqlite,154385
baseline,1,workload_kv_ingest,sqlite,90822.6
baseline,1,workload_kv_latest,sqlite,168543
baseline,1,workload_kv_range10,sqlite,79862.9
baseline,1,workload_kv_range100,sqlite,13175.3
baseline,1,workload_kv_rmw,sqlite,70516.9
batch_insert_1,1,workload_kv_batch_insert,sqlite,87304.5
batch_insert_8,8,workload_kv_batch_insert,sqlite,157418
batch_insert_32,32,workload_kv_batch_insert,sqlite,170060
batch_insert_64,64,workload_kv_batch_insert,sqlite,163952
batch_update_1,1,workload_kv_batch_update,sqlite,108914
batch_update_8,8,workload_kv_batch_update,sqlite,197483
batch_update_32,32,workload_kv_batch_update,sqlite,218616
batch_update_64,64,workload_kv_batch_update,sqlite,220814
acid_aci,1,workload_kv_acid_aci,sqlite,3644.49
acid_txn,1,workload_kv_acid_txn,sqlite,2938.27
acid_batch_rmw,8,workload_kv_acid_batch_rmw,sqlite,6614.92
concurrent_write,1,workload_kv_concurrent_write,sqlite,35602
concurrent_session,1,workload_kv_concurrent_session,sqlite,93333.6
value_size_100,1,workload_kv_session,sqlite,299003
value_size_1024,1,workload_kv_session,sqlite,299324
value_size_4096,1,workload_kv_session,sqlite,299252
baseline,1,workload_kv_session,redis,47262.2
baseline,1,workload_kv_cache,redis,37718.8
baseline,1,workload_kv_analytics_read,redis,38020.3
baseline,1,workload_kv_ingest,redis,44773.5
baseline,1,workload_kv_latest,redis,41149.4
baseline,1,workload_kv_range10,redis,42868.6
baseline,1,workload_kv_range100,redis,41924.6
baseline,1,workload_kv_rmw,redis,31184.3
batch_insert_1,1,workload_kv_batch_insert,redis,39230.4
batch_insert_8,8,workload_kv_batch_insert,redis,77426.1
batch_insert_32,32,workload_kv_batch_insert,redis,86037.2
batch_insert_64,64,workload_kv_batch_insert,redis,86436.6
batch_update_1,1,workload_kv_batch_update,redis,43843.9
batch_update_8,8,workload_kv_batch_update,redis,88462.2
batch_update_32,32,workload_kv_batch_update,redis,110449
batch_update_64,64,workload_kv_batch_update,redis,113733
concurrent_write,1,workload_kv_concurrent_write,redis,78876.2
concurrent_session,1,workload_kv_concurrent_session,redis,100760
value_size_100,1,workload_kv_session,redis,38438.4
value_size_1024,1,workload_kv_session,redis,39793.3
value_size_4096,1,workload_kv_session,redis,39789.4
baseline,1,workload_kv_session,badger,24946.3
baseline,1,workload_kv_cache,badger,128954
baseline,1,workload_kv_analytics_read,badger,176734
baseline,1,workload_kv_ingest,badger,41023.3
baseline,1,workload_kv_latest,badger,172322
baseline,1,workload_kv_range10,badger,24928.5
baseline,1,workload_kv_range100,badger,7131.31
baseline,1,workload_kv_rmw,badger,44104.1
batch_insert_1,1,workload_kv_batch_insert,badger,30320.8
batch_insert_8,8,workload_kv_batch_insert,badger,70585.4
batch_insert_32,32,workload_kv_batch_insert,badger,132682
batch_insert_64,64,workload_kv_batch_insert,badger,90134.7
batch_update_1,1,workload_kv_batch_update,badger,21777.1
batch_update_8,8,workload_kv_batch_update,badger,55622.8
batch_update_32,32,workload_kv_batch_update,badger,57138.3
batch_update_64,64,workload_kv_batch_update,badger,41328.4
acid_aci,1,workload_kv_acid_aci,badger,2152.15
acid_txn,1,workload_kv_acid_txn,badger,1921.85
acid_batch_rmw,8,workload_kv_acid_batch_rmw,badger,5377.02
concurrent_write,1,workload_kv_concurrent_write,badger,20776
concurrent_session,1,workload_kv_concurrent_session,badger,40782.2
value_size_100,1,workload_kv_session,badger,16815.4
value_size_1024,1,workload_kv_session,badger,18704.3
value_size_4096,1,workload_kv_session,badger,18220.6
